RK,OVERALL PLAYER,POS RK,BYE,FPS,VORP
245,Sean Tucker,RB82,9,28.94746178,-63.12961464
246,A.J. Dillon,RB83,9,28.66794311,-63.35322958
247,Trevor Etienne,RB84,14,27.50869581,-64.28062742
248,Jaleel McLaughlin,RB85,12,25.70628967,-65.72255233
249,Emanuel Wilson,RB86,5,25.4741525,-65.90826207
250,Antonio Gibson,RB87,14,24.40478327,-66.76375745
251,Craig Reynolds,RB88,8,23.23813933,-67.6970726
252,AJ Barner,TE33,8,62.69304568,-68.90309287
253,Jordan Love,QB22,5,274.3832697,-68.90698649
254,Devin Singletary,RB89,14,19.54279655,-70.65334683
255,Bryce Young,QB23,14,272.8638406,-71.07730931
256,Michael Mayer,TE34,8,60.47128221,-71.12485634
257,Justice Hill,RB90,7,18.21483199,-71.71571848
258,George Holani,RB91,8,17.63535511,-72.17929998
259,Tyler Goodson,RB92,11,16.14301197,-73.37317449
260,Hassan Haskins,RB93,12,15.56580265,-73.83494195
261,Nathan Carter,RB94,5,15.50490809,-73.8836576
262,Ben Sinnott,TE35,12,56.97083035,-74.6253082
263,LeQuint Allen,RB95,8,14.52377674,-74.66856267
264,Raheim Sanders,RB96,9,14.20045566,-74.92721954
265,Michael Penix,QB24,5,270.8815675,-75.00357002
266,Jordan James,RB97,14,13.50355149,-75.48474288
267,DeeJay Dallas,RB98,8,12.95849798,-75.92078568
268,Zamir White,RB99,8,12.56495067,-76.23562353
269,Phil Mafah,RB100,10,12.41906374,-76.35233308
270,Noah Gray,TE36,10,54.279511,-77.31662755
271,Elijah Arroyo,TE37,8,54.0957973,-77.50034125
272,Cole Kmet,TE38,5,53.81046557,-77.78567298
273,Tyler Higbee,TE39,8,51.5091892,-80.08694936
274,J.J. McCarthy,QB25,6,266.8455151,-80.3853442
275,Cam Ward,QB26,10,261.9098307,-86.03301586
276,Tyler Conklin,TE40,12,45.50117783,-86.09496073
277,Harold Fannin,TE41,9,45.4816775,-86.11446105
278,Oronde Gadsden,TE42,12,40.53399078,-91.06214777
279,Noah Fant,TE43,10,36.49695073,-95.09918782
280,Dawson Knox,TE44,7,33.62837327,-97.96776528
281,Tommy Tremble,TE45,14,31.53064936,-100.0654892
282,Luke Musgrave,TE46,5,31.31201963,-100.2841189
283,Aaron Rodgers,QB27,5,248.363903,-100.4000983
284,Austin Hooper,TE47,14,30.80307532,-100.7930632
285,Foster Moreau,TE48,11,29.3852696,-102.210869
286,Luke Schoonmaker,TE49,10,27.23282687,-104.3633117
287,Daniel Bellinger,TE50,14,26.87160813,-104.7245304
288,Matthew Stafford,QB28,8,236.889778,-112.0933603
289,Daniel Jones,QB29,11,182.0601566,-168.0082055
290,Russell Wilson,QB30,14,167.12127,-184.6034572
291,Spencer Rattler,QB31,11,150.9458751,-201.9933132
292,Joe Flacco,QB32,9,144.6053591,-210.8843422
293,Anthony Richardson,QB33,11,113.6135435,-242.6878253
294,Tyler Shough,QB34,11,71.49997045,-285.4795429
295,Jaxson Dart,QB35,14,70.90142402,-287.2647241
296,Dillon Gabriel,QB36,9,47.82046325,-311.2141555
297,Jimmy Garoppolo,QB37,8,39.12723721,-321.0034558
298,Shedeur Sanders,QB38,9,37.44980768,-323.2895578
299,Tyrod Taylor,QB39,9,24.38785774,-336.7392338
300,Jameis Winston,QB40,14,19.51093545,-345.8943095
