RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
114,Parker Washington,JAX,8,0,0,33.15257484,22.70951377,235.951848,1.498827909,43.94290914,0
115,Jaylin Noel,HOU,6,0,0,33.02230932,20.34174254,251.6273552,1.403580235,43.75508821,0
116,Xavier Hutchinson,HOU,6,0,0,37.07768064,20.61519044,215.2225882,1.443063331,40.48823402,0
117,Tez Johnson,TB,9,0,0,26.79568136,16.55973108,222.8939803,1.424136873,39.11408481,0
118,Jalen McMillan,TB,9,0,0,27.36580224,17.54147924,208.2173585,1.578733131,39.06487426,0
119,Casey Washington,ATL,5,0,0,28.83561408,18.82965599,203.3602847,1.4122242,38.22420167,0
120,Noah Brown,WSH,12,0,0,29.66837663,17.80102598,216.9945067,1.246071819,38.07639457,0
121,Scotty Miller,PIT,5,0,0,29.566845,17.88794123,200.3449417,1.341595592,37.02803834,0
122,KeAndre Lambert-Smith,LAC,12,0,0,27.3988694,16.6585126,197.2367891,1.166095882,35.0495105,0
123,Jaylin Lane,WSH,12,0,0,27.58638529,16.41389925,199.4288759,1.148972947,35.04367489,0
124,Jake Bobo,SEA,8,0,0,24.63436976,15.61819043,199.9128375,1.124509711,34.54743723,0
125,Chimere Dike,TEN,10,0,0,28.47420576,16.94215243,189.2438426,1.05041345,33.69794118,0
126,Luke McCaffrey,WSH,12,0,0,27.06588745,16.94324555,176.5486186,1.169083943,33.14098829,0
127,JuJu Smith-Schuster,KC,10,0,0,24.2355715,14.66252076,169.9386156,1.202326702,31.53908215,0
128,Tyler Johnson,NYJ,9,0,0,24.11640208,14.46984125,164.7534627,1.1575873,30.65579069,0
129,Elijah Moore,BUF,7,0,0,21.39432316,13.49981791,163.7527913,1.012486344,29.20010615,0
130,Kalif Raymond,DET,8,0,0,19.6848288,11.85026694,154.1719729,0.88877002,26.67495088,0
131,Tylan Wallace,BAL,7,0,0,20.55332832,12.37310365,138.3874281,1.081409259,26.51375019,0
132,Jack Bech,LV,8,0,0,18.9326592,12.04117125,137.5101757,0.818799645,24.68440106,0
133,KhaDarel Hodge,ATL,5,0,0,18.29952432,11.34570508,132.0640071,0.805890372,23.71459548,0
134,Jordan Whittington,LAR,8,0,0,18.11535106,10.79674923,132.3333996,0.775261989,23.28328651,0
135,Curtis Samuel,BUF,7,59.98192773,0.834760198,8.87081692,5.766030998,62.76183659,0.434292979,22.77171099,0
136,John Metchie,PHI,9,0,0,17.40484145,10.9998598,120.5584634,0.769990186,22.17571735,0
137,Dareke Young,SEA,8,0,0,17.75966192,9.785573718,123.5917961,0.645847865,21.12705366,0
138,Dermarcus Robinson,SF,14,0,0,16.25153796,9.117112796,121.9869692,0.720251911,21.07876478,0
139,Tim Patrick,JAX,8,0,0,16.28547536,9.787570691,118.6253568,0.70470509,20.98455156,0
140,Cedrick Wilson,NO,11,0,0,17.4530062,10.00057255,123.0070424,0.600034353,20.90119663,0
141,David Moore,CAR,14,0,0,17.0788765,9.90574837,116.6897158,0.693402386,20.78226008,0
142,Beaux Collins,NYG,14,0,0,17.63404062,9.998501032,124.7812929,0.489926551,20.41693911,0
143,Ben Skowronek,PIT,5,0,0,15.62022,8.95038606,110.0002447,0.680229341,19.55659354,0
144,Savion Williams,GB,5,0,0,14.2481808,8.791127554,104.966063,0.703290204,19.1119113,0
145,Jalen Nailor,MIN,6,0,0,15.7057446,9.187860591,99.87204462,0.643150241,18.44003621,0
146,Sterling Shepard,TB,9,0,0,14.253022,8.97940386,89.16548033,0.727331713,17.77024024,0
147,Jalen Royals,KC,10,0,0,13.5955645,8.388463297,86.56894122,0.671077064,16.87758815,0
148,Marquez Valdes-Scantling,SF,14,0,0,12.58183584,7.058409906,95.14736554,0.592906432,16.6013801,0
149,Darius Cooper,PHI,9,0,0,13.17123137,7.652485425,77.2901028,0.53567398,14.76929687,0
150,Devontez Walker,BAL,7,0,0,10.27666416,6.05295519,77.51172973,0.544765967,14.04624637,0
151,Charlie Jones,CIN,10,0,0,10.81503892,6.824289559,74.72597067,0.484524559,13.7918892,0
152,Ryan Flournoy,DAL,10,0,0,10.32595496,6.381440163,69.30244017,0.510515213,13.18405538,0
153,Xavier Weaver,ARI,8,0,0,10.91884127,6.55130476,66.23369113,0.393078286,12.25749121,0
154,Trent Sherfield,DEN,12,0,0,9.044224,5.327047936,64.03111619,0.410182691,11.52773173,0
155,Devin Duvernay,CHI,5,0,0,8.6390136,5.010627888,62.58729584,0.365775836,10.95869854,0
156,DeAndre Carter,CLE,9,0,0,8.97288,5.41961952,58.17152247,0.330596791,10.51054275,0
157,Dominic Lovett,DET,8,0,0,7.6552112,4.677334043,57.67152875,0.374186723,10.35094024,0
158,Tai Felton,MIN,6,0,0,8.6652384,5.086494941,51.1312912,0.340795161,9.701147556,0
159,Efton Chism,NE,14,0,0,8.2869192,5.07988147,53.2371578,0.304792888,9.692413844,0
160,Jordan Watkins,SF,14,0,0,6.81516108,4.35488793,52.26865958,0.322261707,9.337880164,0
161,Jimmy Horn,CAR,14,0,0,7.713041,4.573833313,48.29967979,0.324742165,9.065337626,0
162,Anthony Gould,IND,11,0,0,8.28440256,4.266467318,50.51497305,0.273053908,8.823054414,0
163,Austin Trammell,JAX,8,0,0,6.97948944,4.089980812,48.83437089,0.286298657,8.646219436,0
164,Jalin Hyatt,NYG,14,0,0,7.39492026,4.148550266,49.65814668,0.207427513,8.284654881,0
165,Bryce Oliver,TEN,10,0,0,6.57097056,4.054288836,43.98903387,0.262368637,8.000259628,0
166,Jahdae Walker,CHI,5,0,0,5.7593424,3.415290043,45.49166338,0.269807913,7.87565884,0
167,Brycen Tremayne,CAR,14,0,0,6.611178,3.83448324,42.14097081,0.276082793,7.78783546,0
168,Dee Eskridge,MIA,12,0,0,6.34497864,3.806987184,38.94547889,0.266489103,7.396976099,0
